"player","coach","team","season","price","pos","id"
"Cornelius","Albe","Aston Pirla","2020/2021","5","A",2163
"Pavoletti","Albe","Aston Pirla","2020/2021","1","A",247
"Sau","Albe","Aston Pirla","2020/2021","1","A",1882
"Handanovic","Albe","Aston Pirla","2021/2022","39","P",250
"Radu I.","Albe","Aston Pirla","2021/2022","4","P",1843
"Terracciano","Albe","Aston Pirla","2021/2022","1","P",2815
"Mancini","Albe","Aston Pirla","2021/2022","28","D",2296
"Danilo","Albe","Aston Pirla","2021/2022","11","D",4237
"Kjaer","Albe","Aston Pirla","2021/2022","8","D",2633
"Djimsiti","Albe","Aston Pirla","2021/2022","6","D",787
"Smalling","Albe","Aston Pirla","2021/2022","8","D",4245
"Izzo","Albe","Aston Pirla","2021/2022","2","D",226
"Magnani","Albe","Aston Pirla","2021/2022","1","D",2769
"Udogie","Albe","Aston Pirla","2021/2022","1","D",5355
"Ruiz","Albe","Aston Pirla","2021/2022","20","C",2775
"Diaz B.","Albe","Aston Pirla","2021/2022","31","C",4825
"Mckennie","Albe","Aston Pirla","2021/2022","13","C",4973
"Maggiore","Albe","Aston Pirla","2021/2022","7","C",4988
"Bonaventura","Albe","Aston Pirla","2021/2022","11","C",367
"Saelemaekers","Albe","Aston Pirla","2021/2022","6","C",4892
"Vignato","Albe","Aston Pirla","2021/2022","3","C",2154
"Koopmeiners","Albe","Aston Pirla","2021/2022","6","C",5685
"Vlahovic","Albe","Aston Pirla","2021/2022","157","A",2841
"Giroud","Albe","Aston Pirla","2021/2022","74","A",4200
"Morata","Albe","Aston Pirla","2021/2022","50","A",313
"Sanabria","Albe","Aston Pirla","2021/2022","1","A",479
"Pussetto","Albe","Aston Pirla","2021/2022","11","A",2826
"Defrel","Albe","Aston Pirla","2021/2022","1","A",643
"Luis Maximiano","Albe","Aston Pirla","2022/2023","11","P",5832
"Vicario","Albe","Aston Pirla","2022/2023","3","P",4964
"Radu I.","Albe","Aston Pirla","2022/2023","4","P",1843
"Tomori","Albe","Aston Pirla","2022/2023","18","D",4751
"Kalulu","Albe","Aston Pirla","2022/2023","18","D",4976
"Singo","Albe","Aston Pirla","2022/2023","16","D",4899
"Rodrigo Becao","Albe","Aston Pirla","2022/2023","5","D",4412
"Ibanez","Albe","Aston Pirla","2022/2023","7","D",4331
"Schuurs","Albe","Aston Pirla","2022/2023","11","D",6041
"De Silvestri","Albe","Aston Pirla","2022/2023","3","D",487
"Celik","Albe","Aston Pirla","2022/2023","1","D",4657
"Malinovskyi","Albe","Aston Pirla","2022/2023","22","C",4427
"Pogba","Albe","Aston Pirla","2022/2023","22","C",303
"De Ketelaere","Albe","Aston Pirla","2022/2023","54","C",5995
"Kostic","Albe","Aston Pirla","2022/2023","44","C",4711
"Verdi","Albe","Aston Pirla","2022/2023","3","C",376
"Cataldi","Albe","Aston Pirla","2022/2023","1","C",333
"Rabiot","Albe","Aston Pirla","2022/2023","1","C",2379
"Tonali","Albe","Aston Pirla","2022/2023","15","C",4449
"Arnautovic","Albe","Aston Pirla","2022/2023","100","A",4268
"Di Maria","Albe","Aston Pirla","2022/2023","70","A",2382
"Pedro","Albe","Aston Pirla","2022/2023","4","A",2489
"Henry","Albe","Aston Pirla","2022/2023","46","A",5529
"Cabral","Albe","Aston Pirla","2022/2023","5","A",5786
"Ibrahimovic","Albe","Aston Pirla","2022/2023","1","A",2530
"Sportiello","Albe","Aston Pirla","2023/2024","1","P",4
"Mirante","Albe","Aston Pirla","2023/2024","1","P",41
"Maignan","Albe","Aston Pirla","2023/2024","51","P",4312
"Biraghi","Albe","Aston Pirla","2023/2024","13","D",252
"Monterisi","Albe","Aston Pirla","2023/2024","1","D",4952
"Parisi","Albe","Aston Pirla","2023/2024","4","D",5449
"Scalvini","Albe","Aston Pirla","2023/2024","7","D",5526
"De Winter","Albe","Aston Pirla","2023/2024","1","D",5739
"Terracciano F.","Albe","Aston Pirla","2023/2024","1","D",5812
"Bijol","Albe","Aston Pirla","2023/2024","7","D",5847
"Thiaw","Albe","Aston Pirla","2023/2024","10","D",6055
"Zielinski","Albe","Aston Pirla","2023/2024","28","C",152
"Bonaventura","Albe","Aston Pirla","2023/2024","24","C",367
"Strootman","Albe","Aston Pirla","2023/2024","1","C",470
"Aouar","Albe","Aston Pirla","2023/2024","17","C",4142
"Maldini","Albe","Aston Pirla","2023/2024","1","C",4896
"Volpato","Albe","Aston Pirla","2023/2024","1","C",5735
"Iling Junior","Albe","Aston Pirla","2023/2024","1","C",6112
"Reijnders","Albe","Aston Pirla","2023/2024","20","C",6224
"Petagna","Albe","Aston Pirla","2023/2024","13","A",383
"Bonazzoli","Albe","Aston Pirla","2023/2024","26","A",505
"Zapata D.","Albe","Aston Pirla","2023/2024","47","A",608
"Zirkzee","Albe","Aston Pirla","2023/2024","13","A",5086
"Kaio Jorge","Albe","Aston Pirla","2023/2024","1","A",5505
"Kvaratskhelia","Albe","Aston Pirla","2023/2024","204","A",5839
"Donnarumma G.","Alby","Zoggiathebest99 Team","2018/2019",NA,"P",350
"Donnarumma A.","Alby","Zoggiathebest99 Team","2018/2019",NA,"P",216
NA,"Alby","Zoggiathebest99 Team","2018/2019",NA,"P",NA
"D'ambrosio","Alby","Zoggiathebest99 Team","2018/2019",NA,"D",253
"Acerbi","Alby","Zoggiathebest99 Team","2018/2019",NA,"D",513
"Florenzi","Alby","Zoggiathebest99 Team","2018/2019",NA,"D",464
"N'koulou","Alby","Zoggiathebest99 Team","2018/2019",NA,"D",2288
"Pezzella Ger.","Alby","Zoggiathebest99 Team","2018/2019",NA,"D",2309
NA,"Alby","Zoggiathebest99 Team","2018/2019",NA,"D",NA
NA,"Alby","Zoggiathebest99 Team","2018/2019",NA,"D",NA
NA,"Alby","Zoggiathebest99 Team","2018/2019",NA,"D",NA
"Benassi","Alby","Zoggiathebest99 Team","2018/2019",NA,"C",557
"De Paul","Alby","Zoggiathebest99 Team","2018/2019",NA,"C",1996
"Baselli","Alby","Zoggiathebest99 Team","2018/2019",NA,"C",556
"Lucas Leiva","Alby","Zoggiathebest99 Team","2018/2019",NA,"C",2209
"Mandragora","Alby","Zoggiathebest99 Team","2018/2019",NA,"C",1933
"Lulic","Alby","Zoggiathebest99 Team","2018/2019",NA,"C",338
"Biglia","Alby","Zoggiathebest99 Team","2018/2019",NA,"C",331
NA,"Alby","Zoggiathebest99 Team","2018/2019",NA,"C",NA
"Dzeko","Alby","Zoggiathebest99 Team","2018/2019",NA,"A",647
"Zapata D.","Alby","Zoggiathebest99 Team","2018/2019",NA,"A",608
"Simeone","Alby","Zoggiathebest99 Team","2018/2019",NA,"A",2061
"Palacio","Alby","Zoggiathebest99 Team","2018/2019",NA,"A",280
"Ljajic","Alby","Zoggiathebest99 Team","2018/2019",NA,"A",478
"Campbell","Alby","Zoggiathebest99 Team","2018/2019",NA,"A",2867
"Olsen","Alby","Zoggiathebest99 Team","2019/2020",NA,"P",2836
"Consigli","Alby","Zoggiathebest99 Team","2019/2020",NA,"P",509
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"P",NA
"Smalling","Alby","Zoggiathebest99 Team","2019/2020",NA,"D",4245
"Djimsiti","Alby","Zoggiathebest99 Team","2019/2020",NA,"D",787
"Mancini","Alby","Zoggiathebest99 Team","2019/2020",NA,"D",2296
"Bonucci","Alby","Zoggiathebest99 Team","2019/2020",NA,"D",286
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"D",NA
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"D",NA
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"D",NA
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"D",NA
"Rabiot","Alby","Zoggiathebest99 Team","2019/2020",NA,"C",2379
"Matuidi","Alby","Zoggiathebest99 Team","2019/2020",NA,"C",2306
"Candreva","Alby","Zoggiathebest99 Team","2019/2020",NA,"C",332
"Mkhitaryan","Alby","Zoggiathebest99 Team","2019/2020",NA,"C",2529
"Verdi","Alby","Zoggiathebest99 Team","2019/2020",NA,"C",376
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"C",NA
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"C",NA
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"C",NA
"Martinez L.","Alby","Zoggiathebest99 Team","2019/2020",NA,"A",2764
"Simeone","Alby","Zoggiathebest99 Team","2019/2020",NA,"A",2061
"Higuain","Alby","Zoggiathebest99 Team","2019/2020",NA,"A",408
"Defrel","Alby","Zoggiathebest99 Team","2019/2020",NA,"A",643
"Orsolini","Alby","Zoggiathebest99 Team","2019/2020",NA,"A",2167
NA,"Alby","Zoggiathebest99 Team","2019/2020",NA,"A",NA
"Ospina","Alby","Zoggiathebest99 Team","2020/2021",NA,"P",2468
"Sepe","Alby","Zoggiathebest99 Team","2020/2021",NA,"P",159
"Meret","Alby","Zoggiathebest99 Team","2020/2021",NA,"P",572
"De Silvestri","Alby","Zoggiathebest99 Team","2020/2021",NA,"D",487
"Dimarco","Alby","Zoggiathebest99 Team","2020/2021",NA,"D",254
"Milenkovic","Alby","Zoggiathebest99 Team","2020/2021",NA,"D",2164
"De Vrij","Alby","Zoggiathebest99 Team","2020/2021",NA,"D",322
"Zappacosta","Alby","Zoggiathebest99 Team","2020/2021",NA,"D",554
"Glik","Alby","Zoggiathebest99 Team","2020/2021",NA,"D",548
"Maehle","Alby","Zoggiathebest99 Team","2020/2021",NA,"D",5375
NA,"Alby","Zoggiathebest99 Team","2020/2021",NA,"D",NA
"Barak","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",2172
"Pereyra","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",302
"Milinkovic-Savic","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",645
"Barella","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",1870
"Kucka","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",234
"Perisic","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",704
"Bonaventura","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",367
"Saponara","Alby","Zoggiathebest99 Team","2020/2021",NA,"C",150
"Lukaku","Alby","Zoggiathebest99 Team","2020/2021",NA,"A",2531
"Quagliarella","Alby","Zoggiathebest99 Team","2020/2021",NA,"A",568
"Morata","Alby","Zoggiathebest99 Team","2020/2021",NA,"A",313
"Pedro","Alby","Zoggiathebest99 Team","2020/2021",NA,"A",2489
"Caprari","Alby","Zoggiathebest99 Team","2020/2021",NA,"A",1958
"Iago Falque","Alby","Zoggiathebest99 Team","2020/2021",NA,"A",475
"Szczesny","Alby","Zoggiathebest99 Team","2021/2022","35","P",453
"Pinsoglio","Alby","Zoggiathebest99 Team","2021/2022","1","P",1930
"Perin","Alby","Zoggiathebest99 Team","2021/2022","1","P",218
"Ferrari G.","Alby","Zoggiathebest99 Team","2021/2022","7","D",1895
"Manolas","Alby","Zoggiathebest99 Team","2021/2022","8","D",459
"Palomino","Alby","Zoggiathebest99 Team","2021/2022","8","D",2181
"Hysaj","Alby","Zoggiathebest99 Team","2021/2022","3","D",140
"Godin","Alby","Zoggiathebest99 Team","2021/2022","2","D",2572
"Singo","Alby","Zoggiathebest99 Team","2021/2022","2","D",4899
"Romagnoli","Alby","Zoggiathebest99 Team","2021/2022","1","D",460
"Martinez Quarta","Alby","Zoggiathebest99 Team","2021/2022","1","D",5323
"Calhanoglu","Alby","Zoggiathebest99 Team","2021/2022","45","C",2194
"Zaccagni","Alby","Zoggiathebest99 Team","2021/2022","24","C",632
"Zaniolo","Alby","Zoggiathebest99 Team","2021/2022","54","C",2766
"Mandragora","Alby","Zoggiathebest99 Team","2021/2022","1","C",1933
"Vidal","Alby","Zoggiathebest99 Team","2021/2022","9","C",2414
"Callejon","Alby","Zoggiathebest99 Team","2021/2022","2","C",406
"Bandinelli","Alby","Zoggiathebest99 Team","2021/2022","1","C",2253
"Obi","Alby","Zoggiathebest99 Team","2021/2022","1","C",560
"Osimhen","Alby","Zoggiathebest99 Team","2021/2022","133","A",4661
"Dzeko","Alby","Zoggiathebest99 Team","2021/2022","73","A",647
"Kean","Alby","Zoggiathebest99 Team","2021/2022","41","A",2097
"Sanchez","Alby","Zoggiathebest99 Team","2021/2022","1","A",2475
"Pedro","Alby","Zoggiathebest99 Team","2021/2022","16","A",2489
"Scamacca","Alby","Zoggiathebest99 Team","2021/2022","30","A",2137
"Musso","Alby","Zoggiathebest99 Team","2022/2023","30","P",2792
"Consigli","Alby","Zoggiathebest99 Team","2022/2023","3","P",509
"Sportiello","Alby","Zoggiathebest99 Team","2022/2023","1","P",4
"Cuadrado","Alby","Zoggiathebest99 Team","2022/2023","42","D",697
"De Vrij","Alby","Zoggiathebest99 Team","2022/2023","18","D",322
"Zappacosta","Alby","Zoggiathebest99 Team","2022/2023","13","D",554
"Colley","Alby","Zoggiathebest99 Team","2022/2023","5","D",2784
"Dimarco","Alby","Zoggiathebest99 Team","2022/2023","16","D",254
"Acerbi","Alby","Zoggiathebest99 Team","2022/2023","1","D",513
"Lazaro","Alby","Zoggiathebest99 Team","2022/2023","1","D",4385
"Soppy","Alby","Zoggiathebest99 Team","2022/2023","2","D",5686
"Barella","Alby","Zoggiathebest99 Team","2022/2023","56","C",1870
"Mkhitaryan","Alby","Zoggiathebest99 Team","2022/2023","13","C",2529
"Lazovic","Alby","Zoggiathebest99 Team","2022/2023","7","C",236
"Soriano","Alby","Zoggiathebest99 Team","2022/2023","17","C",2625
"Mckennie","Alby","Zoggiathebest99 Team","2022/2023","13","C",4973
"Miranchuk","Alby","Zoggiathebest99 Team","2022/2023","8","C",5001
"Ricci S.","Alby","Zoggiathebest99 Team","2022/2023","3","C",5453
"Vecino","Alby","Zoggiathebest99 Team","2022/2023","1","C",181
"Lukaku","Alby","Zoggiathebest99 Team","2022/2023","195","A",2531
"Lozano","Alby","Zoggiathebest99 Team","2022/2023","20","A",4517
"Bonazzoli","Alby","Zoggiathebest99 Team","2022/2023","21","A",505
"Lasagna","Alby","Zoggiathebest99 Team","2022/2023","7","A",90
"Shomurodov","Alby","Zoggiathebest99 Team","2022/2023","1","A",5311
"Djuric","Alby","Zoggiathebest99 Team","2022/2023","1","A",5471
"Perin","Alby","Zoggiathebest99 Team","2023/2024","1","P",218
"Szczesny","Alby","Zoggiathebest99 Team","2023/2024","40","P",453
"Consigli","Alby","Zoggiathebest99 Team","2023/2024","1","P",509
"Alex Sandro","Alby","Zoggiathebest99 Team","2023/2024","1","D",662
"Cuadrado","Alby","Zoggiathebest99 Team","2023/2024","12","D",697
"Bastoni","Alby","Zoggiathebest99 Team","2023/2024","10","D",2120
"Kolasinac","Alby","Zoggiathebest99 Team","2023/2024","9","D",2640
"Pellegrini Lu.","Alby","Zoggiathebest99 Team","2023/2024","1","D",2728
"Augello","Alby","Zoggiathebest99 Team","2023/2024","1","D",4421
"Gatti","Alby","Zoggiathebest99 Team","2023/2024","1","D",5831
"Schuurs","Alby","Zoggiathebest99 Team","2023/2024","17","D",6041
"Pogba","Alby","Zoggiathebest99 Team","2023/2024","7","C",303
"Barella","Alby","Zoggiathebest99 Team","2023/2024","34","C",1870
"Pessina","Alby","Zoggiathebest99 Team","2023/2024","11","C",2741
"Frattesi","Alby","Zoggiathebest99 Team","2023/2024","28","C",2848
"Malinovskyi","Alby","Zoggiathebest99 Team","2023/2024","16","C",4427
"Coulibaly L.","Alby","Zoggiathebest99 Team","2023/2024","1","C",5504
"Ndoye","Alby","Zoggiathebest99 Team","2023/2024","5","C",5564
"De Ketelaere","Alby","Zoggiathebest99 Team","2023/2024","5","C",5995
"Immobile","Alby","Zoggiathebest99 Team","2023/2024","184","A",785
"Deulofeu","Alby","Zoggiathebest99 Team","2023/2024","10","A",2119
"Caputo","Alby","Zoggiathebest99 Team","2023/2024","33","A",2819
"Arnautovic","Alby","Zoggiathebest99 Team","2023/2024","66","A",4268
"Azmoun","Alby","Zoggiathebest99 Team","2023/2024","1","A",5795
"Lucca","Alby","Zoggiathebest99 Team","2023/2024","5","A",6215
"Handanovic","Cos","Joe Gage FC","2018/2019",NA,"P",250
NA,"Cos","Joe Gage FC","2018/2019",NA,"P",NA
NA,"Cos","Joe Gage FC","2018/2019",NA,"P",NA
"Ansaldi","Cos","Joe Gage FC","2018/2019",NA,"D",706
"Izzo","Cos","Joe Gage FC","2018/2019",NA,"D",226
"Albiol","Cos","Joe Gage FC","2018/2019",NA,"D",388
"Koulibaly","Cos","Joe Gage FC","2018/2019",NA,"D",392
"Juan Jesus","Cos","Joe Gage FC","2018/2019",NA,"D",256
"Luiz Felipe","Cos","Joe Gage FC","2018/2019",NA,"D",2335
"Gagliolo","Cos","Joe Gage FC","2018/2019",NA,"D",73
NA,"Cos","Joe Gage FC","2018/2019",NA,"D",NA
"Hamsik","Cos","Joe Gage FC","2018/2019",NA,"C",402
"Correa","Cos","Joe Gage FC","2018/2019",NA,"C",495
"Giaccherini","Cos","Joe Gage FC","2018/2019",NA,"C",702
"Krunic","Cos","Joe Gage FC","2018/2019",NA,"C",148
"Castro","Cos","Joe Gage FC","2018/2019",NA,"C",112
"Ilicic","Cos","Joe Gage FC","2018/2019",NA,"C",177
"Ramirez","Cos","Joe Gage FC","2018/2019",NA,"C",2287
NA,"Cos","Joe Gage FC","2018/2019",NA,"C",NA
"Schick","Cos","Joe Gage FC","2018/2019",NA,"A",1974
"Belotti","Cos","Joe Gage FC","2018/2019",NA,"A",441
"Keita B.","Cos","Joe Gage FC","2018/2019",NA,"A",345
"Politano","Cos","Joe Gage FC","2018/2019",NA,"A",536
"El Shaarawy","Cos","Joe Gage FC","2018/2019",NA,"A",795
"Milik","Cos","Joe Gage FC","2018/2019",NA,"A",2012
"Sirigu","Cos","Joe Gage FC","2019/2020",NA,"P",2179
"Gabriel","Cos","Joe Gage FC","2019/2020",NA,"P",385
NA,"Cos","Joe Gage FC","2019/2020",NA,"P",NA
"N'koulou","Cos","Joe Gage FC","2019/2020",NA,"D",2288
"Lyanco","Cos","Joe Gage FC","2019/2020",NA,"D",2171
"Zappacosta","Cos","Joe Gage FC","2019/2020",NA,"D",554
"Murillo","Cos","Joe Gage FC","2019/2020",NA,"D",259
"Kjaer","Cos","Joe Gage FC","2019/2020",NA,"D",2633
"De Vrij","Cos","Joe Gage FC","2019/2020",NA,"D",322
"Biraghi","Cos","Joe Gage FC","2019/2020",NA,"D",252
"Acerbi","Cos","Joe Gage FC","2019/2020",NA,"D",513
"Barella","Cos","Joe Gage FC","2019/2020",NA,"C",1870
"Allan","Cos","Joe Gage FC","2019/2020",NA,"C",397
"Ribery","Cos","Joe Gage FC","2019/2020",NA,"C",2409
"Veloso","Cos","Joe Gage FC","2019/2020",NA,"C",2011
"Ramirez","Cos","Joe Gage FC","2019/2020",NA,"C",2287
"Nainggolan","Cos","Joe Gage FC","2019/2020",NA,"C",467
"Baselli","Cos","Joe Gage FC","2019/2020",NA,"C",556
"Obiang","Cos","Joe Gage FC","2019/2020",NA,"C",4501
"Pazzini","Cos","Joe Gage FC","2019/2020",NA,"A",636
"Milik","Cos","Joe Gage FC","2019/2020",NA,"A",2012
"Sanchez","Cos","Joe Gage FC","2019/2020",NA,"A",2475
"Lozano","Cos","Joe Gage FC","2019/2020",NA,"A",4517
"Destro","Cos","Joe Gage FC","2019/2020",NA,"A",472
"Llorente","Cos","Joe Gage FC","2019/2020",NA,"A",311
"Handanovic","Cos","Joe Gage FC","2020/2021","32","P",250
"Skorupski","Cos","Joe Gage FC","2020/2021","1","P",133
"Radu I.","Cos","Joe Gage FC","2020/2021","1","P",1843
"Acerbi","Cos","Joe Gage FC","2020/2021","14","D",513
"Kolarov","Cos","Joe Gage FC","2020/2021","13","D",2214
"Bastoni","Cos","Joe Gage FC","2020/2021","17","D",2120
"N'koulou","Cos","Joe Gage FC","2020/2021","5","D",2288
"Colley","Cos","Joe Gage FC","2020/2021","4","D",2784
"Izzo","Cos","Joe Gage FC","2020/2021","4","D",226
"Pezzella Ger.","Cos","Joe Gage FC","2020/2021","2","D",2309
"Skriniar","Cos","Joe Gage FC","2020/2021","2","D",798
"Castrovilli","Cos","Joe Gage FC","2020/2021","21","C",4377
"Miranchuk","Cos","Joe Gage FC","2020/2021","16","C",5001
"Ramirez","Cos","Joe Gage FC","2020/2021","14","C",2287
"Ruiz","Cos","Joe Gage FC","2020/2021","24","C",2775
"Verdi","Cos","Joe Gage FC","2020/2021","3","C",376
"Linetty","Cos","Joe Gage FC","2020/2021","1","C",2008
"Nandez","Cos","Joe Gage FC","2020/2021","1","C",4514
"Pereira A.","Cos","Joe Gage FC","2020/2021","1","C",4249
"Martinez L.","Cos","Joe Gage FC","2020/2021","192","A",2764
"Dzeko","Cos","Joe Gage FC","2020/2021","76","A",647
"Osimhen","Cos","Joe Gage FC","2020/2021","52","A",4661
"Sanchez","Cos","Joe Gage FC","2020/2021","46","A",2475
"Keita B.","Cos","Joe Gage FC","2020/2021","2","A",345
"Mayoral","Cos","Joe Gage FC","2020/2021","1","A",5233
"Dragowski","Cos","Joe Gage FC","2021/2022","28","P",1917
"Vicario","Cos","Joe Gage FC","2021/2022","1","P",4964
"Belec","Cos","Joe Gage FC","2021/2022","1","P",720
"De Vrij","Cos","Joe Gage FC","2021/2022","18","D",322
"Hateboer","Cos","Joe Gage FC","2021/2022","10","D",2130
"Lazzari","Cos","Joe Gage FC","2021/2022","25","D",2263
"Maehle","Cos","Joe Gage FC","2021/2022","18","D",5375
"Dimarco","Cos","Joe Gage FC","2021/2022","7","D",254
"Ampadu","Cos","Joe Gage FC","2021/2022","2","D",4719
"Maksimovic","Cos","Joe Gage FC","2021/2022","1","D",550
"Nastasic","Cos","Joe Gage FC","2021/2022","2","D",2453
"Felipe Anderson","Cos","Joe Gage FC","2021/2022","43","C",335
"Castrovilli","Cos","Joe Gage FC","2021/2022","16","C",4377
"Nandez","Cos","Joe Gage FC","2021/2022","12","C",4514
"Verdi","Cos","Joe Gage FC","2021/2022","1","C",376
"Svanberg","Cos","Joe Gage FC","2021/2022","1","C",2744
"Praet","Cos","Joe Gage FC","2021/2022","1","C",2065
"Torreira","Cos","Joe Gage FC","2021/2022","1","C",1972
"Kovalenko","Cos","Joe Gage FC","2021/2022","1","C",5397
"Muriel","Cos","Joe Gage FC","2021/2022","170","A",507
"Arnautovic","Cos","Joe Gage FC","2021/2022","84","A",4268
"Quagliarella","Cos","Joe Gage FC","2021/2022","36","A",568
"Cutrone","Cos","Joe Gage FC","2021/2022","2","A",2155
"Henry","Cos","Joe Gage FC","2021/2022","14","A",5529
"Brekalo","Cos","Joe Gage FC","2021/2022","1","A",4184
"Handanovic","Cos","Joe Gage FC","2022/2023","37","P",250
"Di Gregorio","Cos","Joe Gage FC","2022/2023","1","P",5876
"Padelli","Cos","Joe Gage FC","2022/2023","1","P",543
"Skriniar","Cos","Joe Gage FC","2022/2023","30","D",798
"Milenkovic","Cos","Joe Gage FC","2022/2023","13","D",2164
"Lazzari","Cos","Joe Gage FC","2022/2023","17","D",2263
